Mon Jan  2 11:42:18 2023 args:['ffmpeg', '-loglevel', 'quiet', '-hide_banner', '-y', '-i', 'C:\\Users\\andre\\PycharmProjects\\playlistYoutube\\temp\\Teste\\ao4o-XRU_KM.m4a', '-write_id3v1', '1', '-id3v2_version', '3', '-codec:a', 'libmp3lame', '-q:a', '3', 'C:\\Users\\andre\\PycharmProjects\\playlistYoutube\\temp\\Teste\\Teste-\\ao4o-XRU_KM.mp3']return code:1
Mon Jan  2 11:42:18 2023 args:['ffmpeg', '-loglevel', 'quiet', '-hide_banner', '-y', '-i', 'C:\\Users\\andre\\PycharmProjects\\playlistYoutube\\temp\\Teste\\aqsL0QQaSP4.m4a', '-write_id3v1', '1', '-id3v2_version', '3', '-codec:a', 'libmp3lame', '-q:a', '3', 'C:\\Users\\andre\\PycharmProjects\\playlistYoutube\\temp\\Teste\\Teste-\\aqsL0QQaSP4.mp3']return code:1
Mon Jan  2 11:42:18 2023 args:['ffmpeg', '-loglevel', 'quiet', '-hide_banner', '-y', '-i', 'C:\\Users\\andre\\PycharmProjects\\playlistYoutube\\temp\\Teste\\h--P8HzYZ74.m4a', '-write_id3v1', '1', '-id3v2_version', '3', '-codec:a', 'libmp3lame', '-q:a', '3', 'C:\\Users\\andre\\PycharmProjects\\playlistYoutube\\temp\\Teste\\Teste-\\h--P8HzYZ74.mp3']return code:1
Mon Jan  2 11:42:18 2023 args:['ffmpeg', '-loglevel', 'quiet', '-hide_banner', '-y', '-i', 'C:\\Users\\andre\\PycharmProjects\\playlistYoutube\\temp\\Teste\\hyRNRnz3FyA.m4a', '-write_id3v1', '1', '-id3v2_version', '3', '-codec:a', 'libmp3lame', '-q:a', '3', 'C:\\Users\\andre\\PycharmProjects\\playlistYoutube\\temp\\Teste\\Teste-\\hyRNRnz3FyA.mp3']return code:1
Mon Jan  2 11:42:18 2023 args:['ffmpeg', '-loglevel', 'quiet', '-hide_banner', '-y', '-i', 'C:\\Users\\andre\\PycharmProjects\\playlistYoutube\\temp\\Teste\\K2C6G3PCpqw.m4a', '-write_id3v1', '1', '-id3v2_version', '3', '-codec:a', 'libmp3lame', '-q:a', '3', 'C:\\Users\\andre\\PycharmProjects\\playlistYoutube\\temp\\Teste\\Teste-\\K2C6G3PCpqw.mp3']return code:1
Mon Jan  2 11:42:18 2023 args:['ffmpeg', '-loglevel', 'quiet', '-hide_banner', '-y', '-i', 'C:\\Users\\andre\\PycharmProjects\\playlistYoutube\\temp\\Teste\\kjWHpTkH7pA.m4a', '-write_id3v1', '1', '-id3v2_version', '3', '-codec:a', 'libmp3lame', '-q:a', '3', 'C:\\Users\\andre\\PycharmProjects\\playlistYoutube\\temp\\Teste\\Teste-\\kjWHpTkH7pA.mp3']return code:1
Mon Jan  2 11:42:18 2023 args:['ffmpeg', '-loglevel', 'quiet', '-hide_banner', '-y', '-i', 'C:\\Users\\andre\\PycharmProjects\\playlistYoutube\\temp\\Teste\\kzQTc0-iBX8.m4a', '-write_id3v1', '1', '-id3v2_version', '3', '-codec:a', 'libmp3lame', '-q:a', '3', 'C:\\Users\\andre\\PycharmProjects\\playlistYoutube\\temp\\Teste\\Teste-\\kzQTc0-iBX8.mp3']return code:1
Mon Jan  2 11:42:19 2023 args:['ffmpeg', '-loglevel', 'quiet', '-hide_banner', '-y', '-i', 'C:\\Users\\andre\\PycharmProjects\\playlistYoutube\\temp\\Teste\\LlefHgF0kPA.m4a', '-write_id3v1', '1', '-id3v2_version', '3', '-codec:a', 'libmp3lame', '-q:a', '3', 'C:\\Users\\andre\\PycharmProjects\\playlistYoutube\\temp\\Teste\\Teste-\\LlefHgF0kPA.mp3']return code:1
Mon Jan  2 11:42:18 2023 args:['ffmpeg', '-loglevel', 'quiet', '-hide_banner', '-y', '-i', 'C:\\Users\\andre\\PycharmProjects\\playlistYoutube\\temp\\Teste\\so8V5dAli-Q.m4a', '-write_id3v1', '1', '-id3v2_version', '3', '-codec:a', 'libmp3lame', '-q:a', '3', 'C:\\Users\\andre\\PycharmProjects\\playlistYoutube\\temp\\Teste\\Teste-\\so8V5dAli-Q.mp3']return code:1
Mon Jan  2 11:42:18 2023 args:['ffmpeg', '-loglevel', 'quiet', '-hide_banner', '-y', '-i', 'C:\\Users\\andre\\PycharmProjects\\playlistYoutube\\temp\\Teste\\x-Jo25SL56A.m4a', '-write_id3v1', '1', '-id3v2_version', '3', '-codec:a', 'libmp3lame', '-q:a', '3', 'C:\\Users\\andre\\PycharmProjects\\playlistYoutube\\temp\\Teste\\Teste-\\x-Jo25SL56A.mp3']return code:1
Mon Jan  2 11:42:18 2023 args:['ffmpeg', '-loglevel', 'quiet', '-hide_banner', '-y', '-i', 'C:\\Users\\andre\\PycharmProjects\\playlistYoutube\\temp\\Teste\\Yj6V_a1-EUA.m4a', '-write_id3v1', '1', '-id3v2_version', '3', '-codec:a', 'libmp3lame', '-q:a', '3', 'C:\\Users\\andre\\PycharmProjects\\playlistYoutube\\temp\\Teste\\Teste-\\Yj6V_a1-EUA.mp3']return code:1
Mon Jan  2 11:42:19 2023 args:['ffmpeg', '-loglevel', 'quiet', '-hide_banner', '-y', '-i', 'C:\\Users\\andre\\PycharmProjects\\playlistYoutube\\temp\\Teste\\zRHNi3QfFlE.m4a', '-write_id3v1', '1', '-id3v2_version', '3', '-codec:a', 'libmp3lame', '-q:a', '3', 'C:\\Users\\andre\\PycharmProjects\\playlistYoutube\\temp\\Teste\\Teste-\\zRHNi3QfFlE.mp3']return code:1
Mon Jan  2 11:42:19 2023 args:['ffmpeg', '-loglevel', 'quiet', '-hide_banner', '-y', '-i', 'C:\\Users\\andre\\PycharmProjects\\playlistYoutube\\temp\\Teste2\\musicateste2.m4a', '-write_id3v1', '1', '-id3v2_version', '3', '-codec:a', 'libmp3lame', '-q:a', '3', 'C:\\Users\\andre\\PycharmProjects\\playlistYoutube\\temp\\Teste2\\Teste2-\\musicateste2.mp3']return code:1
Mon Jan  2 11:42:49 2023 args:['ffmpeg', '-loglevel', 'quiet', '-hide_banner', '-y', '-i', 'C:\\Users\\andre\\PycharmProjects\\playlistYoutube\\temp\\Teste\\1Skla3BTrt8.m4a', '-write_id3v1', '1', '-id3v2_version', '3', '-codec:a', 'libmp3lame', '-q:a', '3', 'C:\\Users\\andre\\PycharmProjects\\playlistYoutube\\temp\\Teste\\Teste-\\1Skla3BTrt8.mp3']return code:1
Mon Jan  2 11:42:49 2023 args:['ffmpeg', '-loglevel', 'quiet', '-hide_banner', '-y', '-i', 'C:\\Users\\andre\\PycharmProjects\\playlistYoutube\\temp\\Teste\\3PdILZ_1P74.m4a', '-write_id3v1', '1', '-id3v2_version', '3', '-codec:a', 'libmp3lame', '-q:a', '3', 'C:\\Users\\andre\\PycharmProjects\\playlistYoutube\\temp\\Teste\\Teste-\\3PdILZ_1P74.mp3']return code:1
Mon Jan  2 11:42:49 2023 args:['ffmpeg', '-loglevel', 'quiet', '-hide_banner', '-y', '-i', 'C:\\Users\\andre\\PycharmProjects\\playlistYoutube\\temp\\Teste\\7F37r50VUTQ.m4a', '-write_id3v1', '1', '-id3v2_version', '3', '-codec:a', 'libmp3lame', '-q:a', '3', 'C:\\Users\\andre\\PycharmProjects\\playlistYoutube\\temp\\Teste\\Teste-\\7F37r50VUTQ.mp3']return code:1
Mon Jan  2 11:42:49 2023 args:['ffmpeg', '-loglevel', 'quiet', '-hide_banner', '-y', '-i', 'C:\\Users\\andre\\PycharmProjects\\playlistYoutube\\temp\\Teste\\7ZgPGMfUVek.m4a', '-write_id3v1', '1', '-id3v2_version', '3', '-codec:a', 'libmp3lame', '-q:a', '3', 'C:\\Users\\andre\\PycharmProjects\\playlistYoutube\\temp\\Teste\\Teste-\\7ZgPGMfUVek.mp3']return code:1
Mon Jan  2 11:42:48 2023 args:['ffmpeg', '-loglevel', 'quiet', '-hide_banner', '-y', '-i', 'C:\\Users\\andre\\PycharmProjects\\playlistYoutube\\temp\\Teste\\9LhN6E01Mkc.m4a', '-write_id3v1', '1', '-id3v2_version', '3', '-codec:a', 'libmp3lame', '-q:a', '3', 'C:\\Users\\andre\\PycharmProjects\\playlistYoutube\\temp\\Teste\\Teste-\\9LhN6E01Mkc.mp3']return code:1
Mon Jan  2 11:42:49 2023 args:['ffmpeg', '-loglevel', 'quiet', '-hide_banner', '-y', '-i', 'C:\\Users\\andre\\PycharmProjects\\playlistYoutube\\temp\\Teste\\ao4o-XRU_KM.m4a', '-write_id3v1', '1', '-id3v2_version', '3', '-codec:a', 'libmp3lame', '-q:a', '3', 'C:\\Users\\andre\\PycharmProjects\\playlistYoutube\\temp\\Teste\\Teste-\\ao4o-XRU_KM.mp3']return code:1
Mon Jan  2 11:42:48 2023 args:['ffmpeg', '-loglevel', 'quiet', '-hide_banner', '-y', '-i', 'C:\\Users\\andre\\PycharmProjects\\playlistYoutube\\temp\\Teste\\aqsL0QQaSP4.m4a', '-write_id3v1', '1', '-id3v2_version', '3', '-codec:a', 'libmp3lame', '-q:a', '3', 'C:\\Users\\andre\\PycharmProjects\\playlistYoutube\\temp\\Teste\\Teste-\\aqsL0QQaSP4.mp3']return code:1
Mon Jan  2 11:42:49 2023 args:['ffmpeg', '-loglevel', 'quiet', '-hide_banner', '-y', '-i', 'C:\\Users\\andre\\PycharmProjects\\playlistYoutube\\temp\\Teste\\h--P8HzYZ74.m4a', '-write_id3v1', '1', '-id3v2_version', '3', '-codec:a', 'libmp3lame', '-q:a', '3', 'C:\\Users\\andre\\PycharmProjects\\playlistYoutube\\temp\\Teste\\Teste-\\h--P8HzYZ74.mp3']return code:1
Mon Jan  2 11:42:49 2023 args:['ffmpeg', '-loglevel', 'quiet', '-hide_banner', '-y', '-i', 'C:\\Users\\andre\\PycharmProjects\\playlistYoutube\\temp\\Teste\\hyRNRnz3FyA.m4a', '-write_id3v1', '1', '-id3v2_version', '3', '-codec:a', 'libmp3lame', '-q:a', '3', 'C:\\Users\\andre\\PycharmProjects\\playlistYoutube\\temp\\Teste\\Teste-\\hyRNRnz3FyA.mp3']return code:1
Mon Jan  2 11:42:49 2023 args:['ffmpeg', '-loglevel', 'quiet', '-hide_banner', '-y', '-i', 'C:\\Users\\andre\\PycharmProjects\\playlistYoutube\\temp\\Teste\\K2C6G3PCpqw.m4a', '-write_id3v1', '1', '-id3v2_version', '3', '-codec:a', 'libmp3lame', '-q:a', '3', 'C:\\Users\\andre\\PycharmProjects\\playlistYoutube\\temp\\Teste\\Teste-\\K2C6G3PCpqw.mp3']return code:1
Mon Jan  2 11:42:49 2023 args:['ffmpeg', '-loglevel', 'quiet', '-hide_banner', '-y', '-i', 'C:\\Users\\andre\\PycharmProjects\\playlistYoutube\\temp\\Teste\\kjWHpTkH7pA.m4a', '-write_id3v1', '1', '-id3v2_version', '3', '-codec:a', 'libmp3lame', '-q:a', '3', 'C:\\Users\\andre\\PycharmProjects\\playlistYoutube\\temp\\Teste\\Teste-\\kjWHpTkH7pA.mp3']return code:1
Mon Jan  2 11:42:49 2023 args:['ffmpeg', '-loglevel', 'quiet', '-hide_banner', '-y', '-i', 'C:\\Users\\andre\\PycharmProjects\\playlistYoutube\\temp\\Teste\\kzQTc0-iBX8.m4a', '-write_id3v1', '1', '-id3v2_version', '3', '-codec:a', 'libmp3lame', '-q:a', '3', 'C:\\Users\\andre\\PycharmProjects\\playlistYoutube\\temp\\Teste\\Teste-\\kzQTc0-iBX8.mp3']return code:1
Mon Jan  2 11:42:49 2023 args:['ffmpeg', '-loglevel', 'quiet', '-hide_banner', '-y', '-i', 'C:\\Users\\andre\\PycharmProjects\\playlistYoutube\\temp\\Teste\\LlefHgF0kPA.m4a', '-write_id3v1', '1', '-id3v2_version', '3', '-codec:a', 'libmp3lame', '-q:a', '3', 'C:\\Users\\andre\\PycharmProjects\\playlistYoutube\\temp\\Teste\\Teste-\\LlefHgF0kPA.mp3']return code:1
Mon Jan  2 11:42:49 2023 args:['ffmpeg', '-loglevel', 'quiet', '-hide_banner', '-y', '-i', 'C:\\Users\\andre\\PycharmProjects\\playlistYoutube\\temp\\Teste\\so8V5dAli-Q.m4a', '-write_id3v1', '1', '-id3v2_version', '3', '-codec:a', 'libmp3lame', '-q:a', '3', 'C:\\Users\\andre\\PycharmProjects\\playlistYoutube\\temp\\Teste\\Teste-\\so8V5dAli-Q.mp3']return code:1
Mon Jan  2 11:42:49 2023 args:['ffmpeg', '-loglevel', 'quiet', '-hide_banner', '-y', '-i', 'C:\\Users\\andre\\PycharmProjects\\playlistYoutube\\temp\\Teste\\x-Jo25SL56A.m4a', '-write_id3v1', '1', '-id3v2_version', '3', '-codec:a', 'libmp3lame', '-q:a', '3', 'C:\\Users\\andre\\PycharmProjects\\playlistYoutube\\temp\\Teste\\Teste-\\x-Jo25SL56A.mp3']return code:1
Mon Jan  2 11:42:49 2023 args:['ffmpeg', '-loglevel', 'quiet', '-hide_banner', '-y', '-i', 'C:\\Users\\andre\\PycharmProjects\\playlistYoutube\\temp\\Teste\\Yj6V_a1-EUA.m4a', '-write_id3v1', '1', '-id3v2_version', '3', '-codec:a', 'libmp3lame', '-q:a', '3', 'C:\\Users\\andre\\PycharmProjects\\playlistYoutube\\temp\\Teste\\Teste-\\Yj6V_a1-EUA.mp3']return code:1
Mon Jan  2 11:42:49 2023 args:['ffmpeg', '-loglevel', 'quiet', '-hide_banner', '-y', '-i', 'C:\\Users\\andre\\PycharmProjects\\playlistYoutube\\temp\\Teste\\zRHNi3QfFlE.m4a', '-write_id3v1', '1', '-id3v2_version', '3', '-codec:a', 'libmp3lame', '-q:a', '3', 'C:\\Users\\andre\\PycharmProjects\\playlistYoutube\\temp\\Teste\\Teste-\\zRHNi3QfFlE.mp3']return code:1
Mon Jan  2 11:42:49 2023 args:['ffmpeg', '-loglevel', 'quiet', '-hide_banner', '-y', '-i', 'C:\\Users\\andre\\PycharmProjects\\playlistYoutube\\temp\\Teste2\\musicateste2.m4a', '-write_id3v1', '1', '-id3v2_version', '3', '-codec:a', 'libmp3lame', '-q:a', '3', 'C:\\Users\\andre\\PycharmProjects\\playlistYoutube\\temp\\Teste2\\Teste2-\\musicateste2.mp3']return code:1
Mon Jan  2 11:43:05 2023 args:['ffmpeg', '-loglevel', 'quiet', '-hide_banner', '-y', '-i', 'C:\\Users\\andre\\PycharmProjects\\playlistYoutube\\temp\\Teste\\1Skla3BTrt8.m4a', '-write_id3v1', '1', '-id3v2_version', '3', '-codec:a', 'libmp3lame', '-q:a', '3', 'C:\\Users\\andre\\PycharmProjects\\playlistYoutube\\temp\\Teste\\Teste-\\1Skla3BTrt8.mp3']return code:1
Mon Jan  2 11:43:05 2023 args:['ffmpeg', '-loglevel', 'quiet', '-hide_banner', '-y', '-i', 'C:\\Users\\andre\\PycharmProjects\\playlistYoutube\\temp\\Teste\\3PdILZ_1P74.m4a', '-write_id3v1', '1', '-id3v2_version', '3', '-codec:a', 'libmp3lame', '-q:a', '3', 'C:\\Users\\andre\\PycharmProjects\\playlistYoutube\\temp\\Teste\\Teste-\\3PdILZ_1P74.mp3']return code:1
Mon Jan  2 11:43:05 2023 args:['ffmpeg', '-loglevel', 'quiet', '-hide_banner', '-y', '-i', 'C:\\Users\\andre\\PycharmProjects\\playlistYoutube\\temp\\Teste\\7F37r50VUTQ.m4a', '-write_id3v1', '1', '-id3v2_version', '3', '-codec:a', 'libmp3lame', '-q:a', '3', 'C:\\Users\\andre\\PycharmProjects\\playlistYoutube\\temp\\Teste\\Teste-\\7F37r50VUTQ.mp3']return code:1
Mon Jan  2 11:43:05 2023 args:['ffmpeg', '-loglevel', 'quiet', '-hide_banner', '-y', '-i', 'C:\\Users\\andre\\PycharmProjects\\playlistYoutube\\temp\\Teste\\7ZgPGMfUVek.m4a', '-write_id3v1', '1', '-id3v2_version', '3', '-codec:a', 'libmp3lame', '-q:a', '3', 'C:\\Users\\andre\\PycharmProjects\\playlistYoutube\\temp\\Teste\\Teste-\\7ZgPGMfUVek.mp3']return code:1
Mon Jan  2 11:43:05 2023 args:['ffmpeg', '-loglevel', 'quiet', '-hide_banner', '-y', '-i', 'C:\\Users\\andre\\PycharmProjects\\playlistYoutube\\temp\\Teste\\9LhN6E01Mkc.m4a', '-write_id3v1', '1', '-id3v2_version', '3', '-codec:a', 'libmp3lame', '-q:a', '3', 'C:\\Users\\andre\\PycharmProjects\\playlistYoutube\\temp\\Teste\\Teste-\\9LhN6E01Mkc.mp3']return code:1
Mon Jan  2 11:43:05 2023 args:['ffmpeg', '-loglevel', 'quiet', '-hide_banner', '-y', '-i', 'C:\\Users\\andre\\PycharmProjects\\playlistYoutube\\temp\\Teste\\ao4o-XRU_KM.m4a', '-write_id3v1', '1', '-id3v2_version', '3', '-codec:a', 'libmp3lame', '-q:a', '3', 'C:\\Users\\andre\\PycharmProjects\\playlistYoutube\\temp\\Teste\\Teste-\\ao4o-XRU_KM.mp3']return code:1
